"FIPS","stateFIPS","cntyFIPS","stateName","cntyName","pop_2017","pop_2016","pop_2015","pop_2014","pop_2013","pop_2012","pop_2011","medIncome_2017","medIncome_2016","medIncome_2015","medIncome_2014","medIncome_2013","medIncome_2012","medIncome_2011","pctPovty_2017","pctPovty_2016","pctPovty_2015","pctPovty_2014","pctPovty_2013","pctPovty_2012","pctPovty_2011","unplmtRate_2017","unplmtRate_2016","unplmtRate_2015","unplmtRate_2014","unplmtRate_2013","unplmtRate_2012","unplmtRate_2011","popu65u138_2017","popu65u138_2016","popu65u138_2015","popu65u138_2014","popu65u138_2013","popu65u138_2012","noins_u65u138_2017","noins_u65u138_2016","noins_u65u138_2015","noins_u65u138_2014","noins_u65u138_2013","noins_u65u138_2012"
"01001","01","001","Alabama","Autauga",55504,55416,55347,55395,55246,55514,55267,58343,54487,56580,54366,51868,51441,48863,13.4,13.5,12.7,13.1,13.5,12.7,14.9,3.9,5.3,5.2,5.9,5.7,6.5,8,9259,9542,9869,10169,10221,10244,1620,1639,1833,2212,2735,2758
"01003","01","003","Alabama","Baldwin",212628,208563,203709,200111,195540,190790,186717,56607,56460,52387,49626,47539,48867,50144,10.1,11.7,12.9,13,14.2,13.9,13.4,4,5.4,5.5,6.1,5.8,6.8,8.1,32595,34172,36386,37162,38001,37053,7197,7261,8193,11148,11973,11175
"01005","01","005","Alabama","Barbour",25270,25965,26489,26887,27076,27201,27119,32490,32884,31433,34971,30981,30287,30117,33.4,29.9,32,25.4,28.2,29,29.5,5.9,8.6,8.9,10.8,10,11.2,11.4,6575,6948,6962,7276,7699,7770,1124,1223,1366,1608,1914,1964
"01007","01","007","Alabama","Bibb",22668,22643,22583,22506,22512,22597,22766,45795,43079,40767,39546,39781,37392,37347,20.2,20.1,22.2,18.1,23.1,21.5,22.2,4.4,6.6,6.6,7.1,6.8,7.6,9.9,4517,4630,5159,5142,5292,5358,785,757,1027,1127,1260,1327
"01009","01","009","Alabama","Blount",58013,57704,57673,57719,57872,57826,57677,48253,47213,50487,45567,44392,44225,41940,12.8,14.1,14.7,17.5,17.2,16.2,14.9,4,5.5,5.4,6.1,5.6,6.2,8.3,11539,11735,12352,12935,13004,12930,2779,2636,3220,3743,4013,4170
"01011","01","011","Alabama","Bullock",10309,10362,10696,10764,10639,10474,10542,29113,34278,28251,26580,25937,25854,26038,34.4,32.6,39.6,35.1,35.2,32.3,32.8,4.9,7.2,7.8,9.1,12,13.4,15.3,2901,2846,3001,3166,3240,3143,430,523,622,784,842,759
"01013","01","013","Alabama","Butler",19825,19998,20154,20296,20265,20307,20650,36842,35409,33868,32512,31041,30605,30489,21.3,24.8,25.8,25,28.8,26.3,24.1,5.5,7.1,7.5,8.6,9.3,10.9,11.6,5531,5840,6193,6463,6501,6412,904,897,1122,1352,1476,1556
"01015","01","015","Alabama","Calhoun",114728,114611,115620,115916,116736,117296,117797,45937,41778,42091,41123,37898,39212,39060,17.7,17.1,20,20.5,21.4,21.4,20.9,4.9,6.7,7,7.9,7.3,7.6,9.2,25836,26738,28988,30693,31617,31430,5011,4942,5336,7056,8026,7831
"01017","01","017","Alabama","Chambers",33713,33843,34123,34076,34162,34064,33939,36883,39530,35560,34116,33883,32320,33500,18.2,19.9,22.4,21.3,22.5,21.5,23.7,4.1,5.5,6,6.7,7.3,9.3,11.4,8813,9141,9957,10011,10090,9957,1549,1432,1956,2184,2453,2347
"01019","01","019","Alabama","Cherokee",25857,25725,25859,26037,26203,26021,26057,44842,41456,39144,38013,37478,37868,34738,17.2,16.8,19.4,18.6,20.1,19.6,23.8,4.1,5.2,5.4,5.9,5.7,7.1,8.7,5288,5695,6233,6395,6561,6588,1000,1136,1209,1489,1720,1783
