"FIPS","stateFIPS","cntyFIPS","stateName","cntyName","pop_2018","medIncome_2018","pctPovty_2018","unplmtRate_2018","popu65u138_2018","noins_u65u138_2018"
"01001","01","001","Alabama","Autauga",55601,59338,13.8,3.6,9425,1881
"01003","01","003","Alabama","Baldwin",218022,57588,9.8,3.6,31368,8065
"01005","01","005","Alabama","Barbour",24881,34382,30.9,5.2,6476,1195
"01007","01","007","Alabama","Bibb",22400,46064,21.8,4,4424,776
"01009","01","009","Alabama","Blount",57840,50412,13.2,3.5,10721,2701
"01011","01","011","Alabama","Bullock",10138,29267,42.5,4.7,2977,441
"01013","01","013","Alabama","Butler",19680,37365,24.5,4.8,5513,942
"01015","01","015","Alabama","Calhoun",114277,45400,19.5,4.7,25024,4368
"01017","01","017","Alabama","Chambers",33615,39917,18.7,3.9,8497,1434
"01019","01","019","Alabama","Cherokee",26032,42132,16.3,3.6,5398,1170
"01021","01","021","Alabama","Chilton",44153,47547,17.3,3.6,10397,2839
"01023","01","023","Alabama","Choctaw",12841,39907,22.1,5.5,2711,608
"01025","01","025","Alabama","Clarke",23920,40741,22.8,7.5,5956,1213
"01027","01","027","Alabama","Clay",13275,39201,17.6,3.9,3027,775
"01029","01","029","Alabama","Cleburne",14987,46495,16,4.2,3001,671
"01031","01","031","Alabama","Coffee",51909,55122,13.8,3.9,9568,2048
"01033","01","033","Alabama","Colbert",54762,49055,13.8,4.6,10173,2048
"01035","01","035","Alabama","Conecuh",12277,32613,24.4,5.2,3447,587
"01037","01","037","Alabama","Coosa",10715,42423,18.9,4.2,2216,465
"01039","01","039","Alabama","Covington",36986,40203,19.9,4.6,7934,1518
"01041","01","041","Alabama","Crenshaw",13824,39057,19.5,4.1,3270,641
"01043","01","043","Alabama","Cullman",83442,45796,14.5,3.3,15967,3767
"01045","01","045","Alabama","Dale",48956,45309,16.2,4.2,11347,2021
"01047","01","047","Alabama","Dallas",38310,34035,31.4,6.5,13200,1889
"01049","01","049","Alabama","DeKalb",71385,39491,21.3,3.8,19010,5331
"01051","01","051","Alabama","Elmore",81887,60367,11.2,3.4,12511,2484
"01053","01","053","Alabama","Escambia",36748,38418,23.6,4.6,8975,1891
"01055","01","055","Alabama","Etowah",102501,44903,17.5,4.1,21715,4294
"01057","01","057","Alabama","Fayette",16433,39254,23.5,4.1,3704,715
"01059","01","059","Alabama","Franklin",31363,39388,19.2,3.7,8266,2047
"01061","01","061","Alabama","Geneva",26314,37823,21.3,3.9,6494,1360
"01063","01","063","Alabama","Greene",8233,28524,30.1,6.7,2859,431
"01065","01","065","Alabama","Hale",14726,34724,25.6,5.1,4102,670
"01067","01","067","Alabama","Henry",17209,46027,17.9,4.4,3342,749
"01069","01","069","Alabama","Houston",104722,47993,16.5,4,22567,4688
"01071","01","071","Alabama","Jackson",51736,41929,19.7,4.1,11990,2562
"01073","01","073","Alabama","Jefferson",659300,55013,16.1,3.7,128541,25653
"01075","01","075","Alabama","Lamar",13844,40936,17.4,3.8,3208,588
"01077","01","077","Alabama","Lauderdale",92387,48707,14,4.2,16903,3465
"01079","01","079","Alabama","Lawrence",32957,43909,19.3,4.2,6480,1418
"01081","01","081","Alabama","Lee",163941,48937,19,3.6,37258,7417
"01083","01","083","Alabama","Limestone",96174,64863,11.4,3.5,14681,3341
"01085","01","085","Alabama","Lowndes",9974,33973,25.1,7.3,2905,496
"01087","01","087","Alabama","Macon",18439,32495,30.2,5.5,4960,824
"01089","01","089","Alabama","Madison",366519,63755,11.9,3.5,54894,12071
"01091","01","091","Alabama","Marengo",19066,37733,24,5,4875,797
"01093","01","093","Alabama","Marion",29763,37887,20.2,4.1,6649,1377
"01095","01","095","Alabama","Marshall",96109,46233,18.3,3.4,24118,5400
"01097","01","097","Alabama","Mobile",413757,43598,20.8,4.7,93865,18874
"01099","01","099","Alabama","Monroe",21067,39556,21.9,6.2,5871,1215
"01101","01","101","Alabama","Montgomery",225763,49640,20.1,4,51475,10060
"01103","01","103","Alabama","Morgan",119089,52797,13.2,3.5,22720,5339
"01105","01","105","Alabama","Perry",9140,26814,35.3,6.5,3201,479
"01107","01","107","Alabama","Pickens",19938,37586,23.1,4.6,4641,875
"01109","01","109","Alabama","Pike",33338,37259,23.6,4.5,8914,1995
"01111","01","111","Alabama","Randolph",22725,40546,19.7,4,5190,1001
"01113","01","113","Alabama","Russell",57781,39104,21.7,4,15319,2603
"01115","01","115","Alabama","St. Clair",88690,57284,12,3.5,14274,3212
"01117","01","117","Alabama","Shelby",215707,75663,8,2.9,21179,5124
"01119","01","119","Alabama","Sumter",12691,27859,34.7,5.9,3978,721
"01121","01","121","Alabama","Talladega",79828,41630,19.3,4.3,18306,3579
"01123","01","123","Alabama","Tallapoosa",40497,42205,19.7,4.2,8958,1573
"01125","01","125","Alabama","Tuscaloosa",208911,52557,16.8,3.7,41375,7466
"01127","01","127","Alabama","Walker",63711,45434,17.9,4.2,14971,3026
"01129","01","129","Alabama","Washington",16378,44424,17.6,5.8,3417,810
"01131","01","131","Alabama","Wilcox",10627,25385,33.4,9.6,3565,542
"01133","01","133","Alabama","Winston",23660,41156,18.6,4.2,5277,1175
"02013","02","013","Alaska","Aleutians East (B)",3515,70081,15.5,3,617,310
"02016","02","016","Alaska","Aleutians West (CA)",5723,82633,10,3.5,847,308
"02020","02","020","Alaska","Anchorage (B)",291538,82113,9.5,5.5,32650,7109
"02050","02","050","Alaska","Bethel (CA)",18216,44304,32.7,12.8,7628,1196
"02060","02","060","Alaska","Bristol Bay (B)",877,77257,11.2,6.3,115,33
"02068","02","068","Alaska","Denali (B)",2059,75477,6.9,7.8,192,67
"02070","02","070","Alaska","Dillingham (CA)",5000,54524,22,8.2,1438,295
"02090","02","090","Alaska","Fairbanks North Star (B)",98971,74268,8.6,5.8,11578,2398
"02100","02","100","Alaska","Haines (B)",2474,58943,10.5,9.5,319,95
"02105","02","105","Alaska","Hoonah-Angoon (CA)",2151,51188,17.2,12.6,426,127
"02110","02","110","Alaska","Juneau (B)",32113,79173,7.3,4.4,2923,721
"02122","02","122","Alaska","Kenai Peninsula (B)",58533,65439,12.4,7.7,8443,1946
"02130","02","130","Alaska","Ketchikan Gateway (B)",13918,68309,9.1,6,1840,469
"02150","02","150","Alaska","Kodiak Island (B)",13345,74109,8.2,5.8,1807,632
"02270","02","158","Alaska","Kusilvak (CA)",8303,32728,35.1,19.9,4643,723
"02164","02","164","Alaska","Lake and Peninsula (B)",1587,49403,18.2,11.6,422,105
"02170","02","170","Alaska","Matanuska-Susitna (B)",107610,74649,10.4,7.6,13611,3200
