"FIPS","stateFIPS","cntyFIPS","stateName","cntyName","pop_2014","pop1865_2014","pop1865_2010","pop1865_u138_2014","pop_pov_2014","pop_pov_2010","pop_pov017_2014","pop_pov017_2010","pop_pov65plus","medelig21_64","pop_2010"
"01001","01","001","Alabama","Autauga",55395,33627,33150,6420,7204,6459,2505,2530,486,2885,54571
"01003","01","003","Alabama","Baldwin",200111,116765,108518,23450,25696,24056,8637,8357,2474,8287,182265
"01005","01","005","Alabama","Barbour",26887,13586,14518,4358,5943,6098,2137,2145,634,2442,27457
"01007","01","007","Alabama","Bibb",22506,12520,12826,3322,3666,4316,1237,1448,366,1750,22915
"01009","01","009","Alabama","Blount",57719,34274,34638,8109,10000,9358,3241,3356,846,3062,57322
"01011","01","011","Alabama","Bullock",10764,5363,5535,1902,3179,2866,980,958,330,1222,10914
"01013","01","013","Alabama","Butler",20296,11881,12424,4062,4988,5791,1735,1971,546,2175,20947
"01015","01","015","Alabama","Calhoun",115916,70047,72474,20211,23114,27152,7080,8373,1957,10175,118572
"01017","01","017","Alabama","Chambers",34076,20516,20714,6396,7170,9618,2255,3290,716,2893,34215
"01019","01","019","Alabama","Cherokee",26037,15261,15728,4194,4768,5434,1462,1816,647,1986,25989
"01021","01","021","Alabama","Chilton",43931,26516,26636,7033,7874,8813,2896,3447,696,3097,43643
"01023","01","023","Alabama","Choctaw",13323,7817,8189,2006,3293,2826,867,922,420,1356,13859
"01025","01","025","Alabama","Clarke",24945,14784,15148,4583,6137,6332,1881,2110,585,2549,25833
"01027","01","027","Alabama","Clay",13552,7945,8272,2373,2592,2802,835,918,208,1105,13932
"01029","01","029","Alabama","Cleburne",15080,8738,9013,2236,2527,2621,854,932,304,1107,14972
"01031","01","031","Alabama","Coffee",50909,30484,30461,6956,8407,9939,2974,3588,731,2823,49948
"01033","01","033","Alabama","Colbert",54543,32500,32776,8088,9022,10329,2949,3812,947,4306,54428
"01035","01","035","Alabama","Conecuh",12670,7378,7803,2843,3846,3378,1103,1229,506,1527,13228
"01037","01","037","Alabama","Coosa",10886,6636,7168,1898,1976,2125,568,687,256,947,11539
"01039","01","039","Alabama","Covington",37914,21949,22156,6234,7778,7769,2493,2532,784,3201,37765
"01041","01","041","Alabama","Crenshaw",13977,8312,8355,2407,2929,2783,873,983,340,1231,13906
"01043","01","043","Alabama","Cullman",81289,48303,48522,12571,13809,15242,4219,4899,1820,4997,80406
"01045","01","045","Alabama","Dale",49484,29585,30478,7994,10865,8795,3869,3152,790,3762,50251
"01047","01","047","Alabama","Dallas",41711,24606,26078,9955,14470,15391,5134,6441,1174,6603,43820
"01049","01","049","Alabama","DeKalb",71065,42376,42860,12423,16856,14586,6314,5698,1337,4977,71109
"01051","01","051","Alabama","Elmore",80977,46056,46167,8618,10867,9276,3808,3409,841,4029,79303
"01053","01","053","Alabama","Escambia",37733,20228,20941,6542,8639,9135,2588,3029,867,3123,38319
"01055","01","055","Alabama","Etowah",103531,61804,62800,16695,19291,19457,6606,6777,1919,8407,104430
"01057","01","057","Alabama","Fayette",16874,9845,10223,2744,3425,4635,1056,1360,394,1400,17241
"01059","01","059","Alabama","Franklin",31601,18866,18985,5624,7222,6787,2688,2644,622,2598,31704
"01061","01","061","Alabama","Geneva",26712,15668,16098,4775,6303,5380,2129,1867,519,2219,26790
"01063","01","063","Alabama","Greene",8553,5057,5423,2097,2819,2771,905,884,337,1228,9045
"01065","01","065","Alabama","Hale",15184,8937,9304,3001,4182,3806,1295,1382,441,2013,15760
"01067","01","067","Alabama","Henry",17190,9953,10286,2363,2925,3091,984,1107,505,1198,17302
"01069","01","069","Alabama","Houston",104193,62238,61568,16211,20643,18014,7564,6874,1422,7758,101547
"01071","01","071","Alabama","Jackson",52665,31385,32311,8254,11440,10429,3241,3346,1148,3687,53227
"01073","01","073","Alabama","Jefferson",660793,403712,407403,95212,125778,119809,44281,42130,9399,44342,658466
"01075","01","075","Alabama","Lamar",14086,8109,8525,2368,2856,3068,857,998,426,1254,14564
"01077","01","077","Alabama","Lauderdale",93096,55706,55841,13870,17041,15992,4951,5077,1262,6272,92709
"01079","01","079","Alabama","Lawrence",33477,20533,21348,4860,5499,6166,1666,1887,578,2324,34339
"01081","01","081","Alabama","Lee",154255,101070,92345,31897,37752,28964,8668,6455,1500,6465,140247
"01083","01","083","Alabama","Limestone",90787,54401,50261,10406,11912,11284,3970,3840,1166,3976,82782
"01085","01","085","Alabama","Lowndes",10580,6294,6896,2163,3285,3419,1040,1242,408,1379,11299
"01087","01","087","Alabama","Macon",19425,11012,12511,4005,5649,6160,1542,2034,602,2191,21452
"01089","01","089","Alabama","Madison",350299,216788,207626,39558,48750,41676,15731,14164,3513,14024,334811
"01091","01","091","Alabama","Marengo",20110,11727,12348,3687,5071,4883,1500,1672,767,2196,21027
"01093","01","093","Alabama","Marion",30271,17353,18005,5217,5925,6240,1663,2041,647,2385,30776
"01095","01","095","Alabama","Marshall",94636,55708,55656,15780,20528,17797,7592,7063,1386,6548,93019
"01097","01","097","Alabama","Mobile",415123,251295,252899,67010,80016,83457,29300,29496,6625,30340,412992
"01099","01","099","Alabama","Monroe",21947,12899,13562,4262,5484,6443,1693,2867,732,1871,23068
"01101","01","101","Alabama","Montgomery",226189,134198,138226,36350,48844,46972,17190,17798,2967,18823,229363
"01103","01","103","Alabama","Morgan",119607,71722,72688,15848,17665,16562,6365,6037,1515,7098,119490
"01105","01","105","Alabama","Perry",9826,5263,5718,2152,4246,3874,1437,1364,475,1555,10591
"01107","01","107","Alabama","Pickens",20365,11167,11620,3596,4667,4723,1417,1615,671,2070,19746
"01109","01","109","Alabama","Pike",33389,20367,20348,7616,8237,9304,2172,2488,599,2831,32899
"01111","01","111","Alabama","Randolph",22539,12996,13349,4015,4512,5559,1462,1971,722,1660,22913
"01113","01","113","Alabama","Russell",59608,36949,32731,11992,12309,12654,4501,4783,1074,4721,52947
"01115","01","115","Alabama","St. Clair",86697,51941,51240,11130,12071,10578,3634,3874,1099,4685,83593
"01117","01","117","Alabama","Shelby",206655,126575,121825,16143,19610,18948,5813,6538,1160,5106,195085
"01119","01","119","Alabama","Sumter",13166,7777,8123,3372,4692,4080,1315,1295,393,1770,13763
"01121","01","121","Alabama","Talladega",81322,47907,49063,14252,17499,17912,5749,6290,1467,8502,82291
"01123","01","123","Alabama","Tallapoosa",41165,24367,25001,6503,8633,7502,2924,2679,818,3497,41616
"01125","01","125","Alabama","Tuscaloosa",202212,127022,122911,33194,34553,33258,9729,9650,1632,12558,194656
"01127","01","127","Alabama","Walker",65471,38828,40561,10875,15161,15288,4671,5116,1237,6087,67023
"01129","01","129","Alabama","Washington",16834,10145,10483,2377,3077,3406,1000,1264,325,1316,17581
"01131","01","131","Alabama","Wilcox",11098,6369,6759,2754,3697,4547,1289,1630,393,2113,11670
"01133","01","133","Alabama","Winston",24150,14264,14783,4186,4796,4894,1603,1659,540,2000,24484
"02013","02","013","Alaska","Aleutians East (B)",3360,2773,2640,723,544,527,52,61,15,63,3141
"02016","02","016","Alaska","Aleutians West (CA)",5750,4541,4384,959,549,482,67,86,16,69,5561
"02020","02","020","Alaska","Anchorage (B)",301010,193671,191636,24508,29207,27351,10359,9009,1014,15354,291826
"02050","02","050","Alaska","Bethel (CA)",17868,10116,9954,3895,4166,3794,1997,1842,124,2040,17013
"02060","02","060","Alaska","Bristol Bay (B)",957,652,669,106,89,86,23,21,0,32,997
"02068","02","068","Alaska","Denali (B)",1921,1355,1268,162,133,102,32,28,0,35,1826
"02070","02","070","Alaska","Dillingham (CA)",4988,3017,2991,937,867,995,388,458,21,493,4847
"02090","02","090","Alaska","Fairbanks North Star (B)",99357,63386,63368,9687,9011,8804,2481,3087,264,3641,97581
"02100","02","100","Alaska","Haines (B)",2566,1649,1682,298,252,304,75,97,10,141,2508
"02105","02","105","Alaska","Hoonah-Angoon (CA)",2082,1335,1491,330,397,416,124,107,8,152,2150
"02110","02","110","Alaska","Juneau (B)",32406,21183,20847,2306,2500,2524,668,723,70,1656,31275
