"STNAME","expansion"
"Alabama",9999
"Alaska",2015
"Arizona",2014
"Arkansas",2014
"California",2014
"Colorado",2014
"Connecticut",2014
"Delaware",2014
"Florida",9999
"Georgia",9999
"Hawaii",2014
"Idaho",2020
"Illinois",2014
"Indiana",2015
"Iowa",2014
"Kansas",9999
"Kentucky",2014
"Louisiana",2016
"Maine",2019
"Maryland",2014
"Massachusetts",2014
"Michigan",2014
"Minnesota",2014
"Mississippi",9999
"Missouri",9999
"Montana",2016
"Nebraska",2020
"Nevada",2014
"New Hampshire",2015
"New Jersey",2014
"New Mexico",2014
"New York",2014
"North Carolina",9999
"North Dakota",2014
"Ohio",2014
"Oklahoma",9999
"Oregon",2014
"Pennsylvania",2015
"Rhode Island",2014
"South Carolina",9999
"South Dakota",9999
"Tennessee",9999
"Texas",9999
"Utah",2020
"Vermont",2014
"Virginia",2019
"Washington",2014
"West Virginia",2014
"Wisconsin",2014
"Wyoming",9999
"District of Columbia",2014
